name,strategy,planner,rep,ok,checked,fallback,pre_fb,home_fb,t,jl,cl,n,bad,bad_pairs,frac,jl_pre,jl_app,jl_home,plan_calls,plan_fail,plan_t,method
fruit_r0_p2_t0_f2,naive,RRTConnect,0,True,False,False,False,False,0.25905823707580566,8.877697233083728,3.336243853400781,84,16,stem_r0_p2_s1|grasped_fruit_r0_p2_t0_f2×12;stem_r0_p2_s0|grasped_fruit_r0_p2_t0_f2×10;rg2_leftfinger|stem_r0_p2_s1×6;rg2_hand|stem_r0_p2_s1×2,,4.438848616541864,0.0,4.438848616541864,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p2_t0_f2,naive,RRTConnect,1,True,False,False,False,False,0.1929941177368164,4.307363157931827,2.2732433360164066,84,4,rg2_leftfinger|rachis_r0_p2_t1×4,,2.1536815789659136,0.0,2.1536815789659136,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p3_t0_f2,harvest_linear,RRTConnect,0,True,True,False,False,False,1.7175321578979492,5.007933897154837,2.48933818615999,44,0,,1.0,2.120577949689908,0.38329499711159287,2.120765953241743,2,0,0.13434696197509766,cartesian(frac=1.00)
fruit_r0_p3_t0_f2,harvest_linear,RRTConnect,1,True,True,False,False,False,1.647660255432129,5.472988782926544,2.677056406530169,44,2,rg2_leftfinger|rachis_r0_p3_t1×2,1.0,2.2750487039088316,0.46158602814730615,2.2747680227231006,2,0,0.12333559989929199,cartesian(frac=1.00)
fruit_r0_p3_t0_f2,frontal,RRTConnect,0,True,False,False,False,False,0.34790897369384766,8.58602374092994,2.8848169783154534,102,0,,,3.2889293000816195,1.0040825703833505,3.2889293000816195,0,0,0.0,frontal/거터법선 직선진입 25cm fraction=1.00 (회피 없음)
fruit_r0_p3_t0_f2,frontal,RRTConnect,1,True,False,False,False,False,0.44872283935546875,11.142157688268925,4.5358618884045185,102,0,,,4.669100850800869,0.9019779933335936,4.669100850800869,0,0,0.0,frontal/거터법선 직선진입 25cm fraction=1.00 (회피 없음)
fruit_r0_p3_t0_f2,naive,RRTConnect,0,True,False,False,False,False,0.38882970809936523,8.692157638464227,4.725289797934469,84,2,rg2_leftfinger|rachis_r0_p4_t0×2;rg2_leftfinger|stem_r0_p4_s0×2;rg2_leftfinger|stem_r0_p4_s1×2,,4.346078819232114,0.0,4.3460788192321145,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p3_t0_f2,naive,RRTConnect,1,True,False,False,False,False,0.33794355392456055,5.00317903993149,2.5967304449661786,84,26,stem_r0_p3_s1|grasped_fruit_r0_p3_t0_f2×16;rg2_leftfinger|stem_r0_p3_s1×10;rg2_hand|stem_r0_p3_s1×6,,2.5015895199657447,0.0,2.501589519965746,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p3_t1_f3,harvest_linear,RRTConnect,0,True,True,False,False,False,2.166902780532837,3.825073246180007,2.273735172254148,38,0,,1.0,1.53585158043463,0.377266599610968,1.5346884665234413,2,0,0.13222765922546387,cartesian(frac=1.00)
fruit_r0_p3_t1_f3,harvest_linear,RRTConnect,1,True,True,False,False,False,2.1312224864959717,3.8237689714979135,2.2731576015407775,38,0,,1.0,1.534778531273766,0.377266599610968,1.5344572410022115,2,0,0.128373384475708,cartesian(frac=1.00)
